AUTOMATED EXECUTION SUMMARY

Run date,2026-09-16
Playwright version,1.63.0
Node version,22.13.1
Target,https://dev.app.agnoshealth.com
Browsers,"Chromium, Firefox, WebKit"
Wall-clock duration,21.0 min

Total tests,175
Pass,153
Fail,21
Flaky,1
Pass rate,87.4%

NOTE,"Every failure below is a defect in the application, not an unstable test. The 21 failures are 7 distinct issues reproducing across the three browsers. Tests assert correct behaviour, so they fail while the defect is open and will pass once it is fixed."
NOTE,"Many filter and search tests pass vacuously: the listing endpoint returns HTTP 500 (BUG-001) so every result set is empty, and an empty-in/empty-out assertion holds. They are marked Blocked rather than Pass in the manual test-case sheet."

BY MODULE
Module,Total,Pass,Fail,Flaky
auth (setup),1,1,0,0
download,15,9,6,0
filter,39,39,0,0
login,30,23,6,1
navigation,42,39,3,0
registration,27,24,3,0
search,21,18,3,0

BY BROWSER
Browser,Total,Pass,Fail,Flaky
chromium,58,51,7,0
firefox,58,51,7,0
setup,1,1,0,0
webkit,58,50,7,1

PER-TEST DETAIL
Test ID,Spec File,Browser,Test Name,Result,Duration (s),Retries,Known Defect,Failure Reason
,tests/auth.setup.ts,setup,authenticate as the shared dashboard user,Pass,3.1,0,,
TC-DL-01,tests/download.spec.ts,chromium,Record download › TC-DL-01 opens a confirmation modal before exporting,Pass,3.0,0,,
TC-DL-01,tests/download.spec.ts,firefox,Record download › TC-DL-01 opens a confirmation modal before exporting,Pass,6.1,0,,
TC-DL-01,tests/download.spec.ts,webkit,Record download › TC-DL-01 opens a confirmation modal before exporting,Pass,12.1,0,,
TC-DL-02,tests/download.spec.ts,chromium,Record download › TC-DL-02 cancels the export without downloading anything,Pass,8.2,0,,
TC-DL-02,tests/download.spec.ts,firefox,Record download › TC-DL-02 cancels the export without downloading anything,Pass,11.5,0,,
TC-DL-02,tests/download.spec.ts,webkit,Record download › TC-DL-02 cancels the export without downloading anything,Pass,17.4,0,,
TC-DL-03,tests/download.spec.ts,chromium,Record download › TC-DL-03 downloads a non-empty CSV file,Fail,69.6,1,BUG-007,Error: confirming the export must produce a file
TC-DL-03,tests/download.spec.ts,firefox,Record download › TC-DL-03 downloads a non-empty CSV file,Fail,76.0,1,BUG-007,Error: confirming the export must produce a file
TC-DL-03,tests/download.spec.ts,webkit,Record download › TC-DL-03 downloads a non-empty CSV file,Fail,81.2,1,BUG-007,Error: confirming the export must produce a file
TC-DL-04,tests/download.spec.ts,chromium,Record download › TC-DL-04 gives feedback when there is nothing to export [BUG-007],Pass,26.3,0,BUG-007,
TC-DL-04,tests/download.spec.ts,firefox,Record download › TC-DL-04 gives feedback when there is nothing to export [BUG-007],Pass,12.3,0,BUG-007,
