Bug ID,Title,Severity,Priority,Status,Module,Steps to Reproduce,Expected Result,Actual Result,Evidence,Related Test Cases
BUG-001,Record listing API returns HTTP 500 for every request,Blocker,P1,Open,Dashboard / record listing,"1. Sign in as test@gmail.com / 12345
2. Open DevTools > Network, or call the API directly
3. POST https://dev.api.agnoshealth.com/api/ai_dashboard/dashboard with a valid JWT and the payload the UI sends","HTTP 200 with the record list, or 200 with an empty list if the account genuinely has no records.","HTTP 500 {""error_message"":""internal_server_error""} every time. Reproduced across all three status values, every channel combination, with and without dates, with an empty body {} (which should be a 400), on a freshly issued token, and on three retries 20 minutes apart. The dashboard therefore shows 'Total cases : 0' permanently.",docs/screenshots/recon-02-dashboard.png; docs/bug-reports.md#BUG-001,"TC-GEN-02, TC-SRCH-01, TC-SRCH-03 to TC-SRCH-05, TC-FLT-01 to TC-FLT-13, TC-NAV-11, TC-NAV-12, TC-DL-05, TC-DL-06"
BUG-002,Logout does not clear the session token or patient PII from localStorage,High,P1,Open,Authentication / session,"1. Sign in as test@gmail.com / 12345
2. Click Log Out and confirm the return to /ai_dashboard/login
3. Open DevTools > Application > Local Storage and inspect session, user, hospital and persist:root","Every authentication and patient-data key is removed, so the next person at the machine cannot recover the previous user's token or personal data.","Only user_name is removed. 'session' still holds a valid JWT access token; 'user' and 'persist:root' still hold e-mail, gender, date of birth, height, weight, age and name; 'hospital' still reads 12345. The token stays usable until it expires.",docs/bug-reports.md#BUG-002; automated by TC-LOGIN-08,TC-LOGIN-07
BUG-003,Backend errors are rendered as an empty-data state,Medium,P2,Open,Dashboard / error handling,1. Sign in and open the Diagnosis List while the listing API is returning 500,"An error message such as 'Unable to load records, please try again', ideally with a retry action.",The page shows 'Total cases : 0' and the empty state 'ยังไม่มีข้อมูลการวินิจฉัย' - visually identical to a genuinely empty result. Nothing indicates the request failed.,docs/screenshots/recon-02-dashboard.png,"TC-GEN-01, TC-SRCH-02"
BUG-004,Failed login returns HTTP 500 instead of 401,Medium,P2,Open,Authentication / API contract,"1. POST https://dev.api.agnoshealth.com/api/ai_dashboard/login with {""username"":""test@gmail.com"",""password"":""definitely-wrong""}",HTTP 401 Unauthorized (or 400) identifying the failure as bad credentials.,"HTTP 500 {""error_message"":""internal_server_error""}. Reproduced with a wrong password, an unknown user, and a malformed e-mail address. The UI maps any error to 'Wrong email or password', so a genuine outage would look identical to a typo.",docs/bug-reports.md#BUG-004; automated by TC-LOGIN-06,TC-LOGIN-11
BUG-005,Password policy rejects '!' although the message says a special character is required,Medium,P2,Open,Registration / validation,"1. Open the sign-up page
2. Enter a unique e-mail and 'Passw0rd!' in both password fields
3. Click Confirm
4. Repeat with 'Passw0rd@'","'Passw0rd!' is accepted - it is 9 characters with an uppercase letter, a digit and a special character, which is every rule the on-screen message states.","'Passw0rd!' and 'Password1!' are rejected with the policy message; 'Passw0rd@' is accepted and creates the account (HTTP 200). Only the special character differs, so '!' is not in the implemented allow-list while '@' is.",docs/screenshots/recon-16-signup.png; automated by TC-REG-07,TC-REG-07
BUG-006,Password and Confirm Password share the DOM id 'password',Low,P3,Open,Registration / HTML validity,"1. Open the sign-up page
2. Inspect both password inputs in DevTools","Unique id attributes, each associated with its visible label via <label for>.","Both inputs carry id='password'. Neither the sign-up nor the login inputs have a <label for> or aria-label, so they expose no accessible name. Duplicate ids are invalid HTML and break getElementById, label-click focus and screen readers.",docs/screenshots/recon-16-signup.png,TC-REG-12
BUG-007,Confirming a download with no records does nothing,Low,P3,Open,Dashboard / CSV export,"1. Sign in and open the Diagnosis List while it shows 'Total cases : 0'
2. Click Download
3. Click ยืนยัน in the confirmation modal","Either the Download button is disabled when there is nothing to export, or the app reports that there is no data to export.","No network request is sent, no file is downloaded and no message is shown. The success toast 'Download CSV file successfully' sits in the DOM at opacity 0 and never fires. The modal stays open. Verified by listening for both the download event and any /api/ request for 20 s.",docs/screenshots/recon-14-download.png; automated by TC-DL-03 and TC-DL-04,"TC-DL-03, TC-DL-04"
BUG-008,Typographical errors in Thai and English UI copy,Low,P3,Open,Content,"1. Click Download and read the modal title
2. Register a new account and read the confirmation message",Correct spelling: 'ยืนยันการดาวน์โหลด' and 'Please wait for account approval'.,The modal title reads 'ยินยันการดาวน์โหลด' and the post-registration message reads 'Please wait or account approval'.,docs/screenshots/recon-14-download.png; docs/screenshots/recon-17-postsignup.png,"TC-DL-01, TC-REG-01"
OBS-01,Dashboard routes respond with HTTP 404 while rendering the app,Low,P3,Open,Hosting / configuration,"1. Open DevTools > Network
2. Navigate to /ai_dashboard, /ai_dashboard/login or /ai_dashboard/agnos/sign_up",The document responds 200.,"The document responds 404 while the SPA still renders correctly, and the console logs 'Failed to load resource: the server responded with a status of 404'. A static-hosting fallback serves index.html but keeps the 404 status. No user-visible impact, but wrong for crawlers, uptime monitors and status assertions.",Browser console log,TC-GEN-03
OBS-02,Selected status tab is not reflected in the URL,Low,P3,Open,Navigation,"1. Switch to the Completed tab
2. Press F5",The Completed tab is still selected after the reload.,"The view resets to the default tab. Tab state lives only in component state, so it cannot be deep-linked, bookmarked, shared or restored after a refresh.",Automated by TC-NAV-08,TC-NAV-10
